Agency Abbreviation,Bureau Name,Program Account/Fund,Public Law,Program Name (if different),Appropriated,Announced/Allocated,Obligated,Outlayed,State,Date,Funding Source,Disaster Number
DHS (without FEMA),Federal Law Enforcement Training Center,"Operations and Support, FLETC",C- Emergency PL 115-123,,$0.00,"$4,602,130.51","$4,602,130.51","$4,602,131.00",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Federal Law Enforcement Training Center,"Operations and Support, FLETC",C- Emergency PL 115-123,,$0.00,"$771,869.49","$771,869.00","$771,869.49",SC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Federal Law Enforcement Training Center,"Procurement, Construction, and Improvements, FLETC",C- Emergency PL 115-123,,$0.00,"$4,999,771.06","$4,999,771.06","$4,999,770.87",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Office of the Inspector General,"Operations and Support, OIG",B- Emergency PL 115-72,,$0.00,"$9,980,318.38","$9,980,318.38","$9,980,318.38",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, and 2017 CA Wildfires (PL 115-72)",
DHS (without FEMA),Office of the Inspector General,"Operations and Support, OIG",C- Emergency PL 115-123,,$0.00,"$24,487,049.88","$24,487,049.88","$24,369,614.03",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Transportation Security Administration,"Operations and Support, TSA",C- Emergency PL 115-123,Airport Management,$0.00,"$335,895.00","$331,775.00","$331,775.00",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Transportation Security Administration,"Operations and Support, TSA",C- Emergency PL 115-123,Airport Management,$0.00,"$2,006,269.25","$1,723,308.92","$1,723,308.85",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),Transportation Security Administration,"Operations and Support, TSA",C- Emergency PL 115-123,Airport Management,$0.00,"$63,268.00","$63,267.70","$63,267.70",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,AMO,$0.00,"$58,641.50","$57,637.99","$57,637.99",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,AMO,$0.00,"$24,390,643.59","$24,061,980.89","$23,921,524.81",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,AMO,$0.00,"$283,887.26","$283,887.26","$252,433.61",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,HRM,$0.00,"$168,588.84","$137,471.96","$137,471.96",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,HRM,$0.00,"$168,555.61","$152,843.96","$152,843.96",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,HRM,$0.00,"$146,213.94","$130,242.99","$130,242.99",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OF,$0.00,"$21,655.90","$21,655.90","$21,655.90",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$2,839,959.00","$2,839,959.00","$2,839,959.00",DC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
